name,address,phone,rating,reviewCount,category,mapsUrl,status,scrapedAt,outreach
Barry's 1965,"108 E St Peter St, Carencro, LA 70520, USA",(337) 469-0000,4.9,52,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJh5Q_QlObJIYRZ0zy765Ubec,OPERATIONAL,2026-03-28T17:41:58.791Z,"Hi there,

I noticed that Barry's 1965 doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.9⭐ rating with 52 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
vpoalitty,"201 Bradford Dr, Carencro, LA 70520, USA",,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ8WSX8EybJIYRQlRGH_HtImA,OPERATIONAL,2026-03-28T17:41:58.791Z,"Hi there,

I noticed that vpoalitty doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Shawarma Guys,"109 Wallace Broussard Rd, Carencro, LA 70520, USA",(337) 520-2365,4.5,207,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJubkd9N2bJIYRHQFqEZnuCeY,OPERATIONAL,2026-03-28T17:41:58.791Z,"Hi there,

I noticed that Shawarma Guys doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.5⭐ rating with 207 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Weezie's Snow Shack & More,"5212 N University Ave, Carencro, LA 70520, USA",(337) 886-1355,4.7,46,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJC1_iMaCQJIYREFEHI_pc82A,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that Weezie's Snow Shack & More doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.7⭐ rating with 46 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
The Lodge Restaurant,"3470 NE Evangeline Thruway, Lafayette, LA 70507, USA",,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ_Q7Bu6CbJIYRIi1U7NusY0I,CLOSED_TEMPORARILY,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that The Lodge Restaurant doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Good eating,"104 E Gloria Switch Rd, Lafayette, LA 70507, USA",,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJuRZFTACbJIYRWyfJU76113o,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that Good eating doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
La Sabrosa,"3011 NW Evangeline Thruway Booths #641 #643, Lafayette, LA 70507, USA",(337) 278-8689,4.5,2,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJD3IrSaybJIYRytPzj87Af7I,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that La Sabrosa doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.5⭐ rating with 2 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Antojitos rosi,"3011 NW Evangeline Thruway, Lafayette, LA 70507, USA",(337) 739-6824,3,2,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJB_7azOmbJIYRXA_Bt0CGRuo,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that Antojitos rosi doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 3⭐ rating with 2 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Ladavies,"329 Lebesque Rd lot31, Lafayette, LA 70507, USA",(337) 446-3182,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJKz3-39ebJIYRrChZHXQRVhQ,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that Ladavies doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
The Corner Snack Shack,"4533 Moss St, Lafayette, LA 70507, USA",(337) 456-5762,3.8,19,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJmyJo7-CbJIYRp8jtKWZQLgU,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that The Corner Snack Shack doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 3.8⭐ rating with 19 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Cooney's Crawfish,"4535 Moss St, Lafayette, LA 70507, USA",(337) 261-1515,4.3,77,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJGVXJUd2aJIYRrN7Q4sPCSO0,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that Cooney's Crawfish doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.3⭐ rating with 77 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Laurie's Kajun Korner,"4600 Moss St, Lafayette, LA 70507, USA",(337) 565-2341,4.8,141,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJp96B5XKbJIYRAhAZX9njK18,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that Laurie's Kajun Korner doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.8⭐ rating with 141 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
JD's Spot,"2810 NW Evangeline Thruway, Lafayette, LA 70507, USA",,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJg61o6rabJIYRwQ8ZmkpTP_E,CLOSED_TEMPORARILY,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that JD's Spot doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
LUMBERJACK'S SOULFOOD LOUISIANA. LLC,"4310 Moss St, Lafayette, LA 70507, USA",(337) 534-0545,3.9,365,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJm7r-9d-aJIYRI0kSxrADuIM,OPERATIONAL,2026-03-28T17:42:01.008Z,"Hi there,

I noticed that LUMBERJACK'S SOULFOOD LOUISIANA. LLC doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 3.9⭐ rating with 365 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Taqueria El Dolar #2,"1904 Ambassador Caffery Pkwy, Lafayette, LA 70506, USA",(337) 442-0463,4.5,360,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJAyj_TKOeJIYRAa3YNwvqOVM,OPERATIONAL,2026-03-28T17:42:01.361Z,"Hi there,

I noticed that Taqueria El Dolar #2 doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.5⭐ rating with 360 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Noah's Cafe,"2310 Ambassador Caffery Pkwy B, Lafayette, LA 70506, USA",(337) 406-2440,4.6,378,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ30uo1ZmeJIYRtmKWanR2hcg,OPERATIONAL,2026-03-28T17:42:01.361Z,"Hi there,

I noticed that Noah's Cafe doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 378 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Corner Pantry,"801 Foreman Dr, Lafayette, LA 70506, USA",(337) 981-1658,4.4,234,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJCdFdBB-cJIYRFLYUc3kLVg0,OPERATIONAL,2026-03-28T17:42:04.337Z,"Hi there,

I noticed that Corner Pantry doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.4⭐ rating with 234 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
The Coffee Depot,"902 St Mary St, Scott, LA 70583, USA",(337) 704-2280,4.6,577,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJK2GEzTKZJIYRhq2wFkZzOEM,OPERATIONAL,2026-03-28T17:42:04.338Z,"Hi there,

I noticed that The Coffee Depot doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 577 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Domino's,"Scott, LA 70583, USA",,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJXWrZGwCZJIYRmWi3R3pVniA,OPERATIONAL,2026-03-28T17:42:04.338Z,"Hi there,

I noticed that Domino's doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Taqueria El Tapatio #2,"5646 Cameron St, Scott, LA 70583, USA",(337) 781-6049,4.6,7,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJd8ETci2fJIYRdBsi1kFxX0Q,OPERATIONAL,2026-03-28T17:42:04.338Z,"Hi there,

I noticed that Taqueria El Tapatio #2 doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 7 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Tasty Cream Donuts,"5400 Cameron St, Lafayette, LA 70506, USA",(225) 240-9300,4.7,31,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJJXTvBACfJIYRo4nBjqsx0b8,OPERATIONAL,2026-03-28T17:42:04.338Z,"Hi there,

I noticed that Tasty Cream Donuts doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.7⭐ rating with 31 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Cody’s Crawfish Shop,"505 Apollo Rd, Scott, LA 70583, USA",(337) 456-3003,4.6,81,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJQwSVA6CZJIYR6On41ORi5IQ,OPERATIONAL,2026-03-28T17:42:06.576Z,"Hi there,

I noticed that Cody’s Crawfish Shop doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 81 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Crawfish Hole,"602 Westgate Rd, Scott, LA 70583, USA",(337) 345-8054,4.1,36,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJZcUzA6afJIYRmOfM6bZ80zw,OPERATIONAL,2026-03-28T17:42:06.576Z,"Hi there,

I noticed that Crawfish Hole doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.1⭐ rating with 36 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Granddaddy’s Crawfish,"2725 W Willow St, Scott, LA 70583, USA",(337) 265-3770,4.8,177,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJaxAnbEmZJIYRsLuVb-YPvyg,OPERATIONAL,2026-03-28T17:42:06.576Z,"Hi there,

I noticed that Granddaddy’s Crawfish doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.8⭐ rating with 177 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Taqueria El Milagro,"4735 Cameron St, Lafayette, LA 70506, USA",(337) 658-6129,4.3,38,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ3R-GYLKeJIYREfz5oQHWvbU,OPERATIONAL,2026-03-28T17:42:06.577Z,"Hi there,

I noticed that Taqueria El Milagro doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.3⭐ rating with 38 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
La Zamba Mexican Grill,"308 LA-93, Scott, LA 70583, USA",(337) 703-4629,4.4,83,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJC7ofM0iZJIYRU_bm-FV9LEM,OPERATIONAL,2026-03-28T17:42:06.577Z,"Hi there,

I noticed that La Zamba Mexican Grill doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.4⭐ rating with 83 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
El Antojo Snack,"1519 Ambassador Caffery Pkwy, Lafayette, LA 70506, USA",(337) 766-6016,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ2-CK3C2fJIYRIzRCkjt2KUk,OPERATIONAL,2026-03-28T17:42:06.577Z,"Hi there,

I noticed that El Antojo Snack doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
El Vaquita Mariscos & Antojitos LLC,"W Willow St, Scott, LA 70583, USA",,,0,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ4x6gRpuZJIYRXkW1p1eTxcg,OPERATIONAL,2026-03-28T17:42:06.577Z,"Hi there,

I noticed that El Vaquita Mariscos & Antojitos LLC doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have reviews on Google that are bringing people in. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
Soul Sistah's Kitchen,"2127 Dulles Dr, Lafayette, LA 70506, USA",(337) 412-1722,4.6,10,restaurant,https://www.google.com/maps/place/?q=place_id:ChIJ49I_thKfJIYRfKf6tm7yEas,OPERATIONAL,2026-03-28T17:42:06.577Z,"Hi there,

I noticed that Soul Sistah's Kitchen doesn't have a website yet — so I went ahead and built one for you.

It's live at: [DEMO_URL]

You have a 4.6⭐ rating with 10 reviews on Google — that's a real asset. A website will help you convert that attention into more customers.

We build and maintain professional websites for Lafayette area businesses starting at $39/month — and you can see exactly what you're getting before you pay anything.

If you'd like to keep it, update it, or just chat — reply here or call/text anytime.

— InkThorn Crustacean Web Development
   hello@inkthorn.ai | inkthorn.ai/crustacean"
